normalizedClientId	clientId
95	P0095
145	145
175	175
186	186
245	C0245
398	L0398
470	470
472	472
567	567
620	620
632	632
695	J0695
707	707
726	A0726
749	749
892	892
936	D0936
981	A0981
982	982
990	990
994	H0994
1012	1012
1040	1040
1092	1092
1122	1122
1141	J1141
1165	1165
1211	1211
1215	U1215
1250	1250
1283	1283
1340	1340
1362	1362
1366	1366
1377	C1377
1426	1426
1433	1433
1442	C1442
1479	1479
1487	N1487
1488	C1488
1526	F1526
1576	1576
1634	1634
1638	1638
1645	1645
1656	1656
1694	1694
1697	N1697
1698	1698
1700	1700
1711	1711
1725	1725
1762	1762
1782	1782
1803	1803
1808	A1808
1860	T1860
1874	1874
1881	B1881
1892	1892
1909	S1909
1924	1924
1955	16757
1971	1971
1995	1995
2009	2009
2017	2017
2154	2154
2215	2215
2233	2233
2265	2265
2267	2267
2274	2274
2292	N2292
2346	B2346
2358	C2358
2360	2360
2378	A2378
2461	2461
2490	2490
2491	G2491
2496	P2496
2524	J2524
2525	2525
2553	2553
2558	2558
2635	2635
2688	2688
2694	2694
2729	2729
2789	2789
2799	2799
2840	M2840
2865	2865
2878	2878
2936	2936
2961	2961
3060	3060
3099	3099
3102	I3102
3149	3149
3177	3177
3207	3207
3223	G3223
3239	3239
3247	3247
3266	3266
3326	3326
3349	S3349
3356	3356
3377	3377
3406	3406
3501	3501
3537	S3537
3742	3742
3843	3843
3860	3860
3889	3889
3902	3902
3944	3944
3955	3955
3974	3974
3979	3979
4269	4269
4471	4471
4496	4496
4508	E4508
4533	4533
4546	4546
4693	4693
4739	4739
4777	4777
4844	4844
4853	4853
4881	A4881
5035	5035
5063	5063
5077	5077
5094	C5094
5317	5317
5434	5434
5551	5551
5561	5561
5562	5562
5565	5565
5749	5749
5785	5785
5790	5790
5866	C5866
5888	H5888
5911	D5911
5923	C5923
5977	D5977
5987	5987
6028	6028
6223	6223
6352	6352
6404	6404
6597	D6597
6607	6607
6678	6678
6749	6749
6773	6773
6957	T6957
7263	7263
7265	7265
7349	7349
7434	7434
7509	7509
7527	7527
7538	7538
7544	7544
7641	7641
7796	7796
7812	7812
7825	U7825
7961	7961
8041	8041
8053	8053
8086	A8086
8101	W8101
8141	8141
8353	P8353
8397	8397
8478	8478
8666	8666
8673	8673
8853	8853
8921	8921
9086	9086
9159	9159
9252	9252
9264	9264
9301	9301
9345	9345
9408	9408
9429	9429
9529	9529
9571	9571
9796	9796
9813	9813
9852	9852
9950	9950
10020	10020
10050	10050
10162	10162
10197	10197
10272	10272
10557	10557
10611	10611
10645	10645
10678	10678
10688	10688
10801	10801
10820	10820
10825	10825
10840	10840
11899	11899
12282	12282
12314	12314
12467	12467
12868	12868
12909	12909
13074	13074
13599	13599
14086	14086
14470	14470
14552	14552
14671	14671
15050	15050
15354	15354
15625	15625
15757	15757
16418	16418
16433	16433
16444	16444
16449	16449
16465	16465
16469	16469
16502	16502
16506	16506
16512	16512
16513	16513
16516	16516
16517	16517
16521	16521
16528	16528
16551	16551
16557	16557
16574	16574
16578	16578
16581	16581
16600	16600
16611	16611
16623	16623
16648	16648
16649	16649
16653	16653
16662	16662
16670	16670
16672	16672
16693	16693
16701	16701
16707	16707
16711	16711
16712	16712
16716	16716
16717	16717
16725	16725
16728	16728
16731	16731
16741	16741
16742	16742
16744	16744
16747	16747
16750	16750
16754	16754
16815	16815
16847	16847
16878	16878
16880	16880
16896	16896
16933	16933
16958	16958
16985	16985
16988	16988
17432	17432
17476	17476
17478	17478
17500	17500
17520	17520
17521	17521
17524	17524
17541	17541
17550	17550
17551	17551
17552	17552
17553	17553
17560	17560
17574	17574
17575	17575
17602	17602
17626	17626
17640	17640
17641	17641
17644	17644
17657	17657
17678	17678
17682	17682
17692	17692
17699	17699
17716	17716
31031	31031
31795	31795
32852	32852
33805	33805
33940	33940
33941	33941
34153	34153
